PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Processed
85,1,2,"Ilett, Miss. Bertha",female,17.0,0,0,10.5,S,True
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3,0,15.85,S,True
87,0,3,"Ford, Mr. William Neal",male,16.0,1,3,34.375,S,True
88,0,3,"Slocovski, Mr. Selman Francis",male,,0,0,8.05,S,True
89,1,1,"Fortune, Miss. Mabel Helen",female,23.0,3,2,263.0,S,True
90,0,3,"Celotti, Mr. Francesco",male,24.0,0,0,8.05,S,True
91,0,3,"Christmann, Mr. Emil",male,29.0,0,0,8.05,S,True
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.0,0,0,7.8542,S,True
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,61.175,S,True
94,0,3,"Dean, Mr. Bertram Frank",male,26.0,1,2,20.575,S,True
95,0,3,"Coxon, Mr. Daniel",male,59.0,0,0,7.25,S,True
96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,8.05,S,True
97,0,1,"Goldschmidt, Mr. George B",male,71.0,0,0,34.6542,C,True
98,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,63.3583,C,True
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.0,0,1,23.0,S,True
100,0,2,"Kantor, Mr. Sinai",male,34.0,1,0,26.0,S,True
